kolor;elastycznosc;kruchosc;zapach;zawiera tusz;brudny;blyszczacy;szeleszczacy;przezroczysty;waga;
0;0;0.8;0.1;0;0.3;0.8;0;0.9;0.5;glass
0;0;0.8;0.1;0;0.3;0.9;0;0.9;0.5;glass
0;0;0.7;0.1;0;0.2;0.8;0;0.9;0.4;glass
0;0;0.9;0.1;0;0.1;0.9;0;0.9;0.4;glass
0;0;1;0.1;0;0.2;0.9;0;0.9;0.2;glass
0;0;0.8;0.1;0;0.1;1;0;0.9;0.3;glass
0.3;0;0.8;0;0;0;1;0;0.8;0.2;glass
0.2;0;1;0;0;0;0.9;0;0.8;0.6;glass
0.1;0;0.7;0;0;0.1;0.9;0;0.8;0.6;glass
0.2;0;0.9;0;0;0.1;0.9;0;0.8;0.6;glass
1;0.8;0.1;0.1;0;0.1;0.5;0;0;0.3;plastic
1;0.7;0.1;0.1;0;0.2;0.6;0;0;0.2;plastic
1;0.9;0.1;0.1;0;0;0.5;0;0.8;0.1;plastic
1;1;0.1;0.1;0;0.1;0.4;0;0.1;0.3;plastic
1;0.8;0.1;0.1;0;0.2;0.7;0;0;0.2;plastic
1;0.7;0.1;0;0;0;0.5;0;0.8;0.1;plastic
0.5;0.9;0.1;0;0;0;0.6;0;0.1;0.3;plastic
0.8;1;0.1;0;0;0.1;0.5;0;0.1;0.2;plastic
0.9;1;0.1;0;0;0;0.5;0;0.1;0.1;plastic
0.8;1;0;0;0;0.2;0.7;0;0;0.4;plastic
0;0;0.1;0.1;1;0.2;0;1;0;0.1;paper
0.1;0;0.2;0;0.9;0.3;0.1;1;0.1;0.2;paper
0.2;0;0.1;0;1;0.2;0.2;1;0;0.1;paper
0;0;0.2;0;0.9;0.1;0;1;0.1;0.2;paper
0.2;0;0.1;0.1;1;0.2;0.2;1;0;0.1;paper
0.4;0;0.2;0;0.9;0.3;0.3;1;0.1;0.2;paper
0;0;0.1;0.1;1;0.2;0;1;0;0.1;paper
0.2;0;0.2;0;0.9;0.1;0.2;1;0.1;0.2;paper
0.3;0;0.1;0.1;1;0;0.3;1;0;0.1;paper
0;0;0.2;0;0.9;0;0;1;0.1;0.2;paper
0.5;0;0;1;0;1;0.2;0;0;0.2;organic
0.6;0.1;0.3;0.9;0;0.9;0;0.1;0;0.3;organic
0.7;0;0.4;0.8;0;1;0.1;0;0;0.6;organic
0.5;0;0.3;1;0;0.9;0.1;0.1;0;0.3;organic
0.6;0.1;0;0.9;0;1;0;0;0;0.2;organic
0.7;0;0.3;0.8;0;1;0.2;0.1;0;0.1;organic
0.5;0.1;0.2;1;0;1;0.2;0;0;0.1;organic
0.6;0;0.1;0.9;0;0.9;0.1;0.1;0;0.4;organic
0.7;0.1;0.3;0.8;0;0.8;0;0;0;0.5;organic
0.8;0;0.2;0.9;0;0.8;0.2;0.1;0;0.8;organic
1;0.1;0;0;0;0.1;0.8;0;0;0.9;metal
0.8;0.1;0;0;0;0;0.8;0;0;0.8;metal
0.3;0.1;0;0.1;0;0.1;0.7;0;0;1;metal
0.8;0.1;0;0;0;0;0.9;0;0;1;metal
0.9;0.1;0;0.1;0;0.2;0.8;0;0;1;metal
0.1;0;0;0;0;0;0.4;0;0;1;metal
0.9;0;0;0.1;0;0.2;0.9;0;0;1;metal
0.8;0;0;0;0;0;0.8;0;0;1;metal
0.3;0;0;0;0;0.1;0.3;0;0;1;metal
0.1;0;0;0.1;0;0.2;0.2;0;0;0.9;metal
0.5;0.4;0;0.4;0.2;0.4;0.3;0.2;0;0.3;mixed
0.6;0.3;0;0.3;0.3;0.6;0.2;0.1;0;0.2;mixed
0.5;0.2;0;0.2;0.2;0.5;0.3;0.2;0.1;0.3;mixed
0.6;0.1;0;0.3;0.2;0.6;0.4;0.3;0.2;0.1;mixed
0.7;0.3;0.1;0.5;0.3;0.2;0.5;0;0;0.2;mixed
0.6;0.2;0;0.6;0.4;0.5;0.3;0.1;0;0.3;mixed
0.6;0.1;0;0.2;0.3;0.5;0.4;0.3;0;0.4;mixed
0.7;0.3;0;0.3;0.4;0.8;0.3;0.2;0.2;0.2;mixed
0.5;0.2;0;0.4;0.2;0.2;0.4;0.3;0.3;0.2;mixed
1;0.2;0;0.2;0.1;0.3;0.2;0.3;0;0.3;mixed
